"lat"	"long"	"name"	"url"	"user"	"id"	"price"	"stars"	"reviews"	"accommodates"	"bathrooms"	"bedrooms"	"beds"	"propType"	"roomType"
39.9586665191762	-75.1932722819021	"House of God"	"/rooms/12293639?s=niOnw4wB"	45981325	12293639	40	0	1	"2"	"1"	"1"	"2"	"Apartment"	"Private room"
39.95868551893	-75.2040022147796	"Cozy, modern, free street parking"	"/rooms/11905784?s=niOnw4wB"	24314333	11905784	33	5	12	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9457427908864	-75.1608270467987	"Big beautiful apartment! Welcome!"	"/rooms/6600448?s=niOnw4wB"	34530753	6600448	85	5	11	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9559333139084	-75.1588238422459	"Chinatown/Convention Center"	"/rooms/4077504?s=niOnw4wB"	2873670	4077504	50	4.5	161	"1"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9488064626783	-75.1536412538143	"Beautiful 1 BR Apt in Center City"	"/rooms/7399518?s=niOnw4wB"	21802760	7399518	500	5	8	"2"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9639101096403	-75.1569426345328	"Budget Private-close to everything!"	"/rooms/11123594?s=niOnw4wB"	1872159	11123594	40	5	20	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9654224147628	-75.1653831045297	"Parking & Laundry - Entire Place"	"/rooms/12000863?s=niOnw4wB"	6302462	12000863	60	0	2	"2"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9657474570122	-75.1645475246757	"A Traveler's Cozy Dream"	"/rooms/1588584?s=niOnw4wB"	8472384	1588584	45	5	329	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9552067717225	-75.2110037420331	"Charming studio near Penn & Drexel"	"/rooms/11136809?s=niOnw4wB"	22539481	11136809	75	4.5	26	"2"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9484847072925	-75.1697913883809	"Cozy 1 Bdr in RittSq-Best Location"	"/rooms/8693917?s=niOnw4wB"	40690788	8693917	70	5	50	"3"	"1"	"1"	"2"	"Apartment"	"Entire home/apt"
39.9423771432624	-75.1565963157632	"City Life: Private entry/prkg/patio"	"/rooms/9844538?s=niOnw4wB"	774117	9844538	60	5	23	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9487138130884	-75.1678041272612	"Rittenhouse Square condo"	"/rooms/8096245?s=niOnw4wB"	42752353	8096245	129	5	20	"2"	"1"	"1"	"1"	"Condominium"	"Entire home/apt"
39.9716494849609	-75.1349231911328	"Spacious Private Fishtown Sanctuary"	"/rooms/10744378?s=niOnw4wB"	4266027	10744378	55	5	19	"2"	"2"	"1"	"1"	"House"	"Private room"
39.933747781991	-75.1688540943871	"Sunny South Philly room near Subway"	"/rooms/5534634?s=niOnw4wB"	6898818	5534634	60	5	29	"2"	"1.5"	"1"	"1"	"Townhouse"	"Private room"
39.9482774659526	-75.1744266704585	"Cute Studio in Ritt Square Mansion"	"/rooms/12023651?s=niOnw4wB"	34530947	12023651	70	0	1	"2"	"1"	"0"	"1"	"Apartment"	"Entire home/apt"
39.9493011733562	-75.1615771682961	"Beautiful Apartment in Center City"	"/rooms/9024526?s=niOnw4wB"	19117661	9024526	65	5	44	"2"	"2"	"1"	"1"	"Apartment"	"Private room"
39.9441856215328	-75.1581415791314	"Entire Floor with Private Bathroom"	"/rooms/5475974?s=niOnw4wB"	5631588	5475974	85	5	60	"2"	"1"	"1"	"1"	"Earth House"	"Private room"
39.9506964444267	-75.2203603771196	"Elegant & Sunny Apt!"	"/rooms/7563965?s=niOnw4wB"	15557228	7563965	85	0	1	"4"	"1.5"	"2"	"2"	"Apartment"	"Entire home/apt"
39.9636740895916	-75.1585828114207	"Spacious Room-Close to Center City"	"/rooms/11650777?s=ZPgNsPgr"	1872159	11650777	50	5	6	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9620523151564	-75.1583439034729	"Cozy Room- close to everything!"	"/rooms/8524600?s=ZPgNsPgr"	1872159	8524600	40	4.5	66	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9417810929375	-75.1648319194435	"2 Bedroom Downtown + FREE Parking"	"/rooms/4535521?s=ZPgNsPgr"	23517558	4535521	89	5	68	"6"	"2"	"2"	"2"	"House"	"Entire home/apt"
39.9433324077294	-75.1604526642479	"Center City House with Parking !"	"/rooms/2192219?s=ZPgNsPgr"	4061995	2192219	150	5	22	"4"	"2.5"	"2"	"2"	"House"	"Entire home/apt"
39.9431151019231	-75.1566698099215	"Bella Vista On 9th"	"/rooms/5624660?s=ZPgNsPgr"	29153309	5624660	117	5	116	"3"	"1"	"2"	"2"	"Apartment"	"Entire home/apt"
39.9447836777069	-75.218761151268	"Separate 2BR Apt in University City"	"/rooms/39729?s=ZPgNsPgr"	170727	39729	80	5	68	"4"	"1"	"2"	"2"	"Apartment"	"Entire home/apt"
39.9637604484794	-75.1619589143923	"1BR/1BA private room with balcony"	"/rooms/8548304?s=ZPgNsPgr"	20374744	8548304	60	5	39	"2"	"1"	"1"	"1"	"Condominium"	"Private room"
39.9764006497062	-75.1631973938528	"City Escape- Close to Everything!"	"/rooms/12093521?s=ZPgNsPgr"	64829610	12093521	45	0	0	"2"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9512629007783	-75.1668145763657	"Cozy Modern Apt- Rittenhouse Square"	"/rooms/12106370?s=ZPgNsPgr"	40490199	12106370	110	0	1	"3"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.943058369347	-75.1560293113413	"Pennsylvania Hosp. Fully furnished"	"/rooms/7831119?s=ZPgNsPgr"	26778363	7831119	125	5	7	"2"	"1.5"	"1"	"2"	"Apartment"	"Entire home/apt"
39.9427800256993	-75.178584224772	"Room in sunny apt in SW Center City"	"/rooms/3290383?s=ZPgNsPgr"	8074269	3290383	45	5	87	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9486451565022	-75.2217221331496	"Cozy Suite Room 1, University City"	"/rooms/7278038?s=ZPgNsPgr"	25267773	7278038	35	5	5	"4"	"1.5"	"1"	"1"	"House"	"Private room"
39.9509215593583	-75.1778442781023	"Studio Apt w/ Private Garden Patio"	"/rooms/8052649?s=ZPgNsPgr"	42164341	8052649	75	5	51	"2"	"1"	"0"	"1"	"Apartment"	"Entire home/apt"
39.9408368045751	-75.1752382611089	"Bright & modern room in center city"	"/rooms/4135761?s=ZPgNsPgr"	6298699	4135761	60	5	45	"2"	"1"	"1"	"1"	"House"	"Private room"
39.9502404057527	-75.1728150888191	"MASTER BED+BATH IN RITTENHOUSE!"	"/rooms/7837168?s=ZPgNsPgr"	41277146	7837168	95	5	4	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9954683707767	-75.1128024953874	"\"BOXTOP\" Private Deluxe Near Metro"	"/rooms/7226733?s=ZPgNsPgr"	30645666	7226733	25	5	7	"1"	"2"	"1"	"1"	"Bed & Breakfast"	"Private room"
39.9450935562902	-75.1596546760276	"Studio in the middle of center city"	"/rooms/7758675?s=ZPgNsPgr"	40796056	7758675	70	4.5	8	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9697693164425	-75.1329602499701	"Private NoFish Sanctuary"	"/rooms/5568712?s=ZPgNsPgr"	4266027	5568712	61	5	119	"3"	"1.5"	"1"	"2"	"House"	"Private room"
39.9954683707767	-75.1128024953874	"\"BOXTOP\" Private Deluxe Near Metro"	"/rooms/7226733?s=nWvKXYz6"	30645666	7226733	25	5	7	"1"	"2"	"1"	"1"	"Bed & Breakfast"	"Private room"
39.9450935562902	-75.1596546760276	"Studio in the middle of center city"	"/rooms/7758675?s=nWvKXYz6"	40796056	7758675	70	4.5	8	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.9489004460022	-75.1649200980968	"Luxury apt in center city"	"/rooms/8756737?s=nWvKXYz6"	45921848	8756737	140	5	9	"2"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9650656674042	-75.1635700103057	"Bed&Bath in the historical home"	"/rooms/4067275?s=nWvKXYz6"	20374744	4067275	72	4.5	158	"2"	"1"	"1"	"1"	"Condominium"	"Private room"
39.9697693164425	-75.1329602499701	"Private NoFish Sanctuary"	"/rooms/5568712?s=nWvKXYz6"	4266027	5568712	61	5	119	"3"	"1.5"	"1"	"2"	"House"	"Private room"
39.9527975108837	-75.1452442790988	"You'll LOVE location, free parking"	"/rooms/8289841?s=nWvKXYz6"	43709306	8289841	99	4.5	29	"4"	"1"	"1"	"3"	"Apartment"	"Entire home/apt"
39.9457895257283	-75.1621448744862	"Super Nice Apt Near Everything!"	"/rooms/5458140?s=nWvKXYz6"	18249513	5458140	100	4.5	9	"4"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9634378607259	-75.14624098135	"N. Liberties Suite w/ Skyline Views"	"/rooms/7046616?s=nWvKXYz6"	10879065	7046616	100	5	37	"2"	"1.5"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9577626795591	-75.1602864884991	"Apt Convention Center / China Town"	"/rooms/7894845?s=nWvKXYz6"	41624668	7894845	79	5	31	"4"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9748865787881	-75.1597271095249	"Modern apt with garage parking #405"	"/rooms/6199018?s=nWvKXYz6"	20899724	6199018	95	4	5	"4"	"1"	"2"	"2"	"Apartment"	"Entire home/apt"
40.0623164317934	-75.214264188292	"Architectural Oasis"	"/rooms/6624380?s=nWvKXYz6"	34670885	6624380	110	5	40	"2"	"1"	"1"	"1"	"House"	"Private room"
39.9586377417205	-75.1596523910686	"Spacious Loft"	"/rooms/8128701?s=nWvKXYz6"	35625959	8128701	168	5	6	"4"	"1"	"2"	"2"	"Apartment"	"Entire home/apt"
39.9637855547874	-75.1570993975222	"Simple room- close to everything!"	"/rooms/8956760?s=nWvKXYz6"	1872159	8956760	40	5	34	"2"	"1"	"1"	"1"	"Apartment"	"Private room"
39.944084400012	-75.175894841132	"Quiet Apartment on South Street"	"/rooms/3324376?s=nWvKXYz6"	15865112	3324376	68	5	19	"2"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9754040184749	-75.1273049144416	"Studio Loft in Fishtown Mural Bldg"	"/rooms/8300814?s=nWvKXYz6"	39432331	8300814	120	5	20	"2"	"1"	"0"	"1"	"Apartment"	"Entire home/apt"
39.960401312674	-75.1720418791308	"Large Studio in Center City"	"/rooms/470619?s=nWvKXYz6"	2278942	470619	110	4.5	14	"2"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9504144772308	-75.1733966610033	"Stunning Rittenhouse Square Loft"	"/rooms/11992982?s=nWvKXYz6"	64120239	11992982	108	0	2	"4"	"1"	"1"	"2"	"Apartment"	"Entire home/apt"
39.9191871800351	-75.1642813374756	"Private Room with Futon"	"/rooms/8256034?s=nWvKXYz6"	43533836	8256034	25	4.5	33	"1"	"1.5"	"1"	"1"	"House"	"Private room"
39.937161311113	-75.1589265399952	"Just steps from the Italian Market"	"/rooms/7337025?s=dX7Mp7kn"	38438250	7337025	50	4.5	48	"2"	"1"	"1"	"1"	"House"	"Private room"
39.9527251977916	-75.1760364880291	"Studio in Center City"	"/rooms/12113243?s=dX7Mp7kn"	64968469	12113243	70	0	0	"2"	"1"	"0"	"1"	"Apartment"	"Entire home/apt"
39.9503338531821	-75.1720480080726	"Cozy place with unbeatable location"	"/rooms/1412863?s=dX7Mp7kn"	7616301	1412863	79	4.5	51	"2"	"1"	"0"	"1"	"Apartment"	"Entire home/apt"
39.9570707362318	-75.1728208951896	"Fun Studio - Museum Area"	"/rooms/9690019?s=dX7Mp7kn"	49717582	9690019	80	4.5	24	"3"	"1"	"0"	"2"	"Apartment"	"Entire home/apt"
39.9437775612101	-75.180606087013	"Charming room near Center City"	"/rooms/7619284?s=dX7Mp7kn"	39961897	7619284	40	5	12	"1"	"1"	"1"	"1"	"House"	"Private room"
39.9474826592501	-75.1702584183356	"Rittenhouse 1 bed with private bath"	"/rooms/7528331?s=dX7Mp7kn"	31730083	7528331	74	5	35	"2"	"1"	"1"	"1"	"House"	"Private room"
40.0636300969002	-75.1335267454492	"Comfortable Room Beautiful Colonial"	"/rooms/1802504?s=dX7Mp7kn"	9449928	1802504	54	5	6	"2"	"1"	"1"	"1"	"House"	"Private room"
39.9615228625854	-75.1586653372943	"Modern Loft in Landmark Building"	"/rooms/1984525?s=dX7Mp7kn"	4014627	1984525	99	5	191	"2"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9483433373721	-75.212685944856	"Entire 1br Univ City. Walk to UPenn"	"/rooms/8151775?s=dX7Mp7kn"	1783096	8151775	38	5	4	"2"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9494035202772	-75.1736362451506	"Sweet St. James Studio"	"/rooms/1103033?s=dX7Mp7kn"	49355	1103033	75	4	37	"3"	"1"	"0"	"3"	"Apartment"	"Entire home/apt"
39.948378932957	-75.1717549526016	"Spacious Rittenhouse Luxury Suite "	"/rooms/2364908?s=dX7Mp7kn"	4669403	2364908	130	4.5	144	"3"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
39.9550574495327	-75.1674339029266	"The Arch  - Phila center city!"	"/rooms/4060622?s=dX7Mp7kn"	21054958	4060622	120	4.5	7	"2"	"1"	"1"	"1"	"Apartment"	"Entire home/apt"
40.0578761719411	-75.181141900902	"COZY Room #1/ $34 close to the CITY"	"/rooms/5382219?s=dX7Mp7kn"	27898589	5382219	34	5	55	"1"	"1"	"1"	"1"	"House"	"Private room"
40.048076991824	-75.1928592628296	"Guest House - Mt Airy, Philadelphia"	"/rooms/8237913?s=dX7Mp7kn"	43441864	8237913	78	5	86	"2"	"1"	"1"	"1"	"House"	"Entire home/apt"
39.946109492491	-75.1619871376231	"Cozy, Convenient, Walkable: Rm f/1"	"/rooms/1446080?s=dX7Mp7kn"	7763290	1446080	64	5	109	"1"	"1"	"1"	"1"	"House"	"Private room"
